"STATISTIC Label","Year","Single year of age","Females","Males","All persons"
"Mid-year population estimate",2019,"3",11921,12783,24704
"Mid-year population estimate",2019,"4",12047,12601,24648
"Mid-year population estimate",2019,"5",11995,12608,24603
"Mid-year population estimate",2019,"6",12268,12711,24979
"Mid-year population estimate",2019,"7",12556,13238,25794
"Mid-year population estimate",2019,"8",12684,13149,25833
"Mid-year population estimate",2019,"9",12463,13006,25469
"Mid-year population estimate",2019,"10",12534,13125,25659
"Mid-year population estimate",2019,"11",12560,13178,25738
"Mid-year population estimate",2019,"12",11880,12591,24471
"Mid-year population estimate",2019,"13",11441,12010,23451
"Mid-year population estimate",2019,"14",11433,12025,23458
"Mid-year population estimate",2019,"15",11248,11883,23131
"Mid-year population estimate",2019,"16",11058,11602,22660
"Mid-year population estimate",2019,"17",11157,11266,22423
"Mid-year population estimate",2019,"18",11250,11481,22731
"Mid-year population estimate",2019,"19",10377,11506,21883
"Mid-year population estimate",2019,"20",10806,12042,22848
"Mid-year population estimate",2019,"21",11108,11913,23021
"Mid-year population estimate",2019,"22",11636,12159,23795
"Mid-year population estimate",2019,"23",11354,11997,23351
"Mid-year population estimate",2019,"24",11425,11929,23354
"Mid-year population estimate",2019,"25",11677,11558,23235
"Mid-year population estimate",2019,"26",11776,11528,23304
"Mid-year population estimate",2019,"27",12292,11937,24229
"Mid-year population estimate",2019,"28",12460,11952,24412
"Mid-year population estimate",2019,"29",12621,12186,24807
"Mid-year population estimate",2019,"30",12543,12153,24696
"Mid-year population estimate",2019,"31",13102,12301,25403
"Mid-year population estimate",2019,"32",13221,12367,25588
"Mid-year population estimate",2019,"33",13209,12634,25843
"Mid-year population estimate",2019,"34",13040,12595,25635
"Mid-year population estimate",2019,"35",13073,12211,25284
"Mid-year population estimate",2019,"36",12925,12271,25196
"Mid-year population estimate",2019,"37",12899,12186,25085
"Mid-year population estimate",2019,"38",13087,12288,25375
"Mid-year population estimate",2019,"39",13333,12684,26017
"Mid-year population estimate",2019,"40",12821,11947,24768
"Mid-year population estimate",2019,"41",12021,11341,23362
"Mid-year population estimate",2019,"42",11658,11178,22836
"Mid-year population estimate",2019,"43",11943,11368,23311
"Mid-year population estimate",2019,"44",11813,11530,23343
"Mid-year population estimate",2019,"45",12308,11885,24193
"Mid-year population estimate",2019,"46",12720,12422,25142
"Mid-year population estimate",2019,"47",12733,12555,25288
"Mid-year population estimate",2019,"48",13348,12705,26053
"Mid-year population estimate",2019,"49",13202,12731,25933
"Mid-year population estimate",2019,"50",13428,12883,26311
"Mid-year population estimate",2019,"51",13533,13106,26639
"Mid-year population estimate",2019,"52",13527,12891,26418
"Mid-year population estimate",2019,"53",13388,13145,26533
"Mid-year population estimate",2019,"54",13675,13228,26903
"Mid-year population estimate",2019,"55",13440,13040,26480
"Mid-year population estimate",2019,"56",12837,12768,25605
"Mid-year population estimate",2019,"57",12740,12300,25040
"Mid-year population estimate",2019,"58",12612,12229,24841
"Mid-year population estimate",2019,"59",12039,11607,23646
"Mid-year population estimate",2019,"60",11706,11156,22862
"Mid-year population estimate",2019,"61",11505,11062,22567
"Mid-year population estimate",2019,"62",10836,10585,21421
"Mid-year population estimate",2019,"63",10454,10338,20792
"Mid-year population estimate",2019,"64",9720,9735,19455
"Mid-year population estimate",2019,"65",9442,9626,19068
"Mid-year population estimate",2019,"66",9534,9248,18782
"Mid-year population estimate",2019,"67",9002,8734,17736
"Mid-year population estimate",2019,"68",9017,8808,17825
"Mid-year population estimate",2019,"69",9018,8526,17544
"Mid-year population estimate",2019,"70",8808,8439,17247
"Mid-year population estimate",2019,"71",8787,8162,16949
"Mid-year population estimate",2019,"72",9040,8152,17192
"Mid-year population estimate",2019,"73",8159,7392,15551
"Mid-year population estimate",2019,"74",7930,7035,14965
"Mid-year population estimate",2019,"75",7804,6852,14656
"Mid-year population estimate",2019,"76",7562,6596,14158
"Mid-year population estimate",2019,"77",6603,5679,12282
"Mid-year population estimate",2019,"78",5977,4946,10923
"Mid-year population estimate",2019,"79",5692,4607,10299
"Mid-year population estimate",2019,"80",5603,4428,10031
"Mid-year population estimate",2019,"81",5200,4126,9326
"Mid-year population estimate",2019,"82",5038,3776,8814
"Mid-year population estimate",2019,"83",4624,3326,7950
"Mid-year population estimate",2019,"84",4258,2866,7124
"Mid-year population estimate",2019,"85",3722,2520,6242
"Mid-year population estimate",2019,"86",3568,2255,5823
"Mid-year population estimate",2019,"87",3153,1907,5060
"Mid-year population estimate",2019,"88",2656,1600,4256
"Mid-year population estimate",2019,"89",2355,1144,3499
"Mid-year population estimate",2019,"90",9673,3971,13644
"Mid-year population estimate",2019,"All",964669,933850,1898519
"Mid-year population estimate",2020,"0",10574,11260,21834
"Mid-year population estimate",2020,"1",11024,11661,22685
"Mid-year population estimate",2020,"2",11327,11787,23114
"Mid-year population estimate",2020,"3",11614,12245,23859
"Mid-year population estimate",2020,"4",11915,12733,24648
"Mid-year population estimate",2020,"5",12019,12547,24566
"Mid-year population estimate",2020,"6",11974,12565,24539
"Mid-year population estimate",2020,"7",12258,12696,24954
"Mid-year population estimate",2020,"8",12545,13255,25800
"Mid-year population estimate",2020,"9",12688,13147,25835
"Mid-year population estimate",2020,"10",12451,13009,25460
"Mid-year population estimate",2020,"11",12526,13098,25624
"Mid-year population estimate",2020,"12",12565,13190,25755
"Mid-year population estimate",2020,"13",11856,12575,24431
"Mid-year population estimate",2020,"14",11459,12021,23480
"Mid-year population estimate",2020,"15",11465,12063,23528
"Mid-year population estimate",2020,"16",11290,11912,23202
"Mid-year population estimate",2020,"17",11065,11611,22676
"Mid-year population estimate",2020,"18",11148,11231,22379
"Mid-year population estimate",2020,"19",10287,11025,21312
"Mid-year population estimate",2020,"20",9959,11232,21191
"Mid-year population estimate",2020,"21",10619,11749,22368
"Mid-year population estimate",2020,"22",11092,11671,22763
"Mid-year population estimate",2020,"23",11679,11982,23661
"Mid-year population estimate",2020,"24",11227,11763,22990
"Mid-year population estimate",2020,"25",11244,11717,22961
"Mid-year population estimate",2020,"26",11601,11401,23002
"Mid-year population estimate",2020,"27",11705,11410,23115
"Mid-year population estimate",2020,"28",12261,11847,24108
"Mid-year population estimate",2020,"29",12471,11893,24364
"Mid-year population estimate",2020,"30",12613,12137,24750
"Mid-year population estimate",2020,"31",12584,12119,24703
"Mid-year population estimate",2020,"32",13166,12213,25379
"Mid-year population estimate",2020,"33",13276,12308,25584
"Mid-year population estimate",2020,"34",13236,12627,25863
"Mid-year population estimate",2020,"35",13071,12549,25620
"Mid-year population estimate",2020,"36",13110,12158,25268
"Mid-year population estimate",2020,"37",12936,12294,25230
"Mid-year population estimate",2020,"38",12922,12141,25063
"Mid-year population estimate",2020,"39",13090,12205,25295
"Mid-year population estimate",2020,"40",13384,12716,26100
"Mid-year population estimate",2020,"41",12860,11982,24842
"Mid-year population estimate",2020,"42",12051,11372,23423
"Mid-year population estimate",2020,"43",11660,11182,22842
"Mid-year population estimate",2020,"44",11933,11390,23323
"Mid-year population estimate",2020,"45",11794,11500,23294
"Mid-year population estimate",2020,"46",12269,11870,24139
"Mid-year population estimate",2020,"47",12690,12396,25086
"Mid-year population estimate",2020,"48",12686,12532,25218
"Mid-year population estimate",2020,"49",13331,12686,26017
"Mid-year population estimate",2020,"50",13162,12721,25883
"Mid-year population estimate",2020,"51",13415,12835,26250
"Mid-year population estimate",2020,"52",13495,13089,26584
"Mid-year population estimate",2020,"53",13509,12846,26355
"Mid-year population estimate",2020,"54",13342,13120,26462
"Mid-year population estimate",2020,"55",13606,13209,26815
"Mid-year population estimate",2020,"56",13426,12982,26408
"Mid-year population estimate",2020,"57",12803,12713,25516
"Mid-year population estimate",2020,"58",12664,12276,24940
"Mid-year population estimate",2020,"59",12576,12188,24764
"Mid-year population estimate",2020,"60",12005,11547,23552
"Mid-year population estimate",2020,"61",11685,11048,22733
"Mid-year population estimate",2020,"62",11443,10967,22410
"Mid-year population estimate",2020,"63",10756,10518,21274
"Mid-year population estimate",2020,"64",10386,10264,20650
"Mid-year population estimate",2020,"65",9635,9640,19275
"Mid-year population estimate",2020,"66",9371,9556,18927
"Mid-year population estimate",2020,"67",9469,9156,18625
"Mid-year population estimate",2020,"68",8910,8610,17520
"Mid-year population estimate",2020,"69",8926,8714,17640
"Mid-year population estimate",2020,"70",8893,8373,17266
"Mid-year population estimate",2020,"71",8662,8270,16932
"Mid-year population estimate",2020,"72",8627,7998,16625
"Mid-year population estimate",2020,"73",8913,7975,16888
"Mid-year population estimate",2020,"74",7983,7174,15157
"Mid-year population estimate",2020,"75",7749,6822,14571
"Mid-year population estimate",2020,"76",7592,6627,14219
"Mid-year population estimate",2020,"77",7335,6357,13692
"Mid-year population estimate",2020,"78",6397,5457,11854
"Mid-year population estimate",2020,"79",5771,4711,10482
"Mid-year population estimate",2020,"80",5488,4364,9852
"Mid-year population estimate",2020,"81",5315,4143,9458
"Mid-year population estimate",2020,"82",4937,3865,8802
"Mid-year population estimate",2020,"83",4768,3484,8252
"Mid-year population estimate",2020,"84",4332,3056,7388
"Mid-year population estimate",2020,"85",3941,2583,6524
"Mid-year population estimate",2020,"86",3409,2242,5651
"Mid-year population estimate",2020,"87",3251,1994,5245
"Mid-year population estimate",2020,"88",2844,1647,4491
"Mid-year population estimate",2020,"89",2280,1380,3660
"Mid-year population estimate",2020,"90",9768,3920,13688
"Mid-year population estimate",2020,"All",965409,935114,1900523
"Mid-year population estimate",2021,"0",10238,11026,21264
"Mid-year population estimate",2021,"1",10683,11332,22015
"Mid-year population estimate",2021,"2",11081,11695,22776
"Mid-year population estimate",2021,"3",11381,11764,23145
"Mid-year population estimate",2021,"4",11600,12232,23832
"Mid-year population estimate",2021,"5",11893,12722,24615
"Mid-year population estimate",2021,"6",12049,12553,24602
"Mid-year population estimate",2021,"7",11978,12547,24525
"Mid-year population estimate",2021,"8",12288,12710,24998
"Mid-year population estimate",2021,"9",12549,13247,25796
"Mid-year population estimate",2021,"10",12730,13168,25898
"Mid-year population estimate",2021,"11",12449,13030,25479
"Mid-year population estimate",2021,"12",12538,13084,25622
"Mid-year population estimate",2021,"13",12551,13173,25724
"Mid-year population estimate",2021,"14",11835,12572,24407
"Mid-year population estimate",2021,"15",11453,12025,23478
"Mid-year population estimate",2021,"16",11499,12075,23574
"Mid-year population estimate",2021,"17",11320,11921,23241
"Mid-year population estimate",2021,"18",10993,11593,22586
"Mid-year population estimate",2021,"19",10119,10780,20899
"Mid-year population estimate",2021,"20",9872,10800,20672
"Mid-year population estimate",2021,"21",9871,10954,20825
"Mid-year population estimate",2021,"22",10625,11572,22197
"Mid-year population estimate",2021,"23",11295,11720,23015
"Mid-year population estimate",2021,"24",11709,11888,23597
"Mid-year population estimate",2021,"25",11129,11666,22795
"Mid-year population estimate",2021,"26",11202,11608,22810
"Mid-year population estimate",2021,"27",11632,11381,23013
"Mid-year population estimate",2021,"28",11774,11428,23202
"Mid-year population estimate",2021,"29",12322,11799,24121
"Mid-year population estimate",2021,"30",12533,11891,24424
"Mid-year population estimate",2021,"31",12778,12128,24906
"Mid-year population estimate",2021,"32",12722,12221,24943
"Mid-year population estimate",2021,"33",13291,12171,25462
"Mid-year population estimate",2021,"34",13391,12305,25696
"Mid-year population estimate",2021,"35",13352,12649,26001
"Mid-year population estimate",2021,"36",13155,12578,25733
"Mid-year population estimate",2021,"37",13191,12152,25343
"Mid-year population estimate",2021,"38",13025,12355,25380
"Mid-year population estimate",2021,"39",12990,12182,25172
"Mid-year population estimate",2021,"40",13140,12148,25288
"Mid-year population estimate",2021,"41",13423,12716,26139
"Mid-year population estimate",2021,"42",12886,11977,24863
"Mid-year population estimate",2021,"43",12109,11367,23476
"Mid-year population estimate",2021,"44",11667,11108,22775
"Mid-year population estimate",2021,"45",11950,11398,23348
"Mid-year population estimate",2021,"46",11778,11458,23236
"Mid-year population estimate",2021,"47",12254,11840,24094
"Mid-year population estimate",2021,"48",12682,12378,25060
"Mid-year population estimate",2021,"49",12661,12539,25200
"Mid-year population estimate",2021,"50",13284,12683,25967
"Mid-year population estimate",2021,"51",13143,12633,25776
"Mid-year population estimate",2021,"52",13378,12767,26145
"Mid-year population estimate",2021,"53",13478,12977,26455
"Mid-year population estimate",2021,"54",13492,12778,26270
